source	target	freq
مكاريوس	Makāriyūs	2
1934	1934	2
مكافحة	Mukāfaḥat	2
زرزور	Zarzūr	2
الغريفي	al-Ghurayfī	2
وشاء	Washshāʼ	2
وشؤون	wa-shuʼūn	2
الختيب	al-Khatīb	2
الخثعمي	al-Khathʻamī	2
الاذاعة	al-idhāʻah	2
ابطحى	Abṭaḥī	2
الغرى	al-Ghurá	2
زركار	Zarkār	2
زركشي	Zarkashī	2
الإستئناس	al-istiʼnās	2
زرندي	Zarandī	2
الخدمات	al-khadamāt	2
الغرف	al-ghuraf	2
الغرر	al-ghurar	2
الغافر	al-Ghāfir	2
زند	Zand	2
العوارض	al-ʻawāriḍ	2
الخرساني	al-Kharsān	2
العوا	al-ʻAwwā	2
العهود	al-ʻuhūd	2
العهدين	al-ʻahdayn	2
ملائما	mulāʼiman	2
زملكاني	Zamlakānī	2
الادهمي	Adʹhamī	2
١١	11	2
عبدالله	ʻAbd-Allāh	2
زنبل	Zunbul	2
ملاحقه	malāḥiqahu	2
العناصر	al-ʻAnāṣir	2
الاديان	al-Adyān	2
العناد	al-ʻinād	2
عبدالقدوس	ʻAbd-al-Quddūs	2
الخرشي	al-Khirshī	2
زنوزى	Zunūzī	2
1922-1923	1922-1923	2
عبدالسلام	ʻAbd-al-Salām	2
الخريجين	al-Khirrijīn	2
العوارف	al-ʻawārif	2
العوايد	al-ʻawāyid	2
مكدونالد	McDonald	2
مكررات	Mukarrarāt	2
مكرزل	Mukarzil	2
عبدوس	ʻAbdūs	2
الغاب	al-Ghāb	2
العيوني	al-ʻUyūnī	2
الخرازي	al-Kharrāzī	2
الادوية	al-adwiyah	2
الأجانب	al-ajānib	2
1925-1926-1927	1925-1926-1927	2
العيش	al-ʻaysh	2
وأيده	wa-ayyadah	2
مكملة	mukammalah	2
والمسيح	wa-al-Masīḥ	2
العياشي	al-ʻAyyāshī	2
ابواب	abwāb	2
مكيال	Mikyāl	2
العوى	al-ʻUwá	2
العوف	al-ʻAwf	2
العوضي	al-ʻAwḍī	2
مكيل	Miguel	2
العقلاء	al-ʻuqalāʼ	2
وستمنستر	Wistministir	2
العقدية	al-ʻaqdīyah	2
187	187	2
عازار	ʻĀzār	2
عارفانيان	ʻIrfāniyān	2
سجاعي	Sujāʻī	2
وأعضاء	wa-aʻḍāʼ	2
والمعطلة	wa-al-Muʻaṭṭilah	2
الاختلاف	al-ikhtilāf	2
منشئاه	munshiʼāhu	2
منشور	manshūr	2
الاختصاص	al-ikhtiṣāṣ	2
سحنون	Saḥnūn	2
سحيم	Suḥaym	2
سخاوي	Sakhāwī	2
الأبواب	al-abwāb	2
سد	Sad	2
والمعلم	wa-al-muʻallim	2
الخمسين	al-Khamsīn	2
1869-1921	1869-1921	2
منسى	Munassá	2
ستيوارت	Stuart	2
احلام	Aḥlām	2
الأبياري	al-Abyārī	2
احصاءات	Iḥṣāʼāt	2
الخليفة	al-khalīfah	2
الاخضر	al-Akhḍar	2
ستالين	Sitālīn	2
وزكي	wa-Zakī	2
عاصرهم	ʻāṣarahum	2
١٩٥٤	1954	2
عاشوا	ʻāshū	2
منذري	Mundhirī	2
الخليل	al-Khalīl	2
ستودارد	Stoddard	2
عاش	ʻāsha	2
منسوبة	mansūbah	2
ستيفن	Stephen	2
عازر	ʻĀzir	2
1869	1869	2
العجيلي	al-ʻUjaylī	2
والمعلمات	wa-muʻallimāt	2
العجوز	al-ʻAjūz	2
سروري	Suyūrī	2
سروش	Surūsh	2
وروايات	wa-riwāyāt	2
وأشعارهن	wa-ashʻārahunna	2
العجلي	al-ʻAjalī	2
عائدة	ʻĀʼidah	2
وزاني	Wazzānī	2
وروائع	wa-rawāʼiʻ	2
سرية	Sarīyah	2
العثمانيه	al-ʻUthmānīyah	2
اختاره	ikhtārahu	2
منغانة	Mingana	2
العتكي	al-ʻAtkī	2
سزكين	Sezgin	2
سره	sirrahu	2
وأشهر	wa-ashhar	2
الخميس	al-Khamīs	2
1868	1868	2
العرائس	al-ʻArāʼis	2
العذراء	al-ʻadhrāʼ	2
والوصايا	wa-al-waṣāyā	2
منطقة	minṭaqat	2
العديم	al-ʻAdīm	2
وزارت	Wizārat	2
الخنساء	al-Khansāʼ	2
العدول	al-ʻudūl	2
الاخباري	al-Akhbārī	2
منطقية	manṭiqīyah	2
العدو	al-ʻaduw	2
العدنانيات	al-ʻAdnānīyāt	2
العدناني	ʻAdnānī	2
العدلي	al-ʻadlī	2
عابادة	ʻIbādah	2
عائض	ʻĀʼiḍ	2
1863	1863	2
سبيتي	Sabītī	2
اجهوري	Ujhūrī	2
العطاء	al-ʻaṭāʼ	2
العضو	al-ʻuḍw	2
عاما	ʻāman	2
الخطير	al-khaṭīr	2
سامعي	Sāmiʻī	2
وسام	wisām	2
سامى	Sāmī	2
الاخير	al-akhīr	2
الخفاء	al-khafāʼ	2
العصرين	al-ʻaṣrayn	2
الخفاف	al-Khaffāf	2
احاديثه	aḥādithuh	2
مناظر	manāẓir	2
ساويرس	Sāwīrus	2
الخلائق	al-Khalāʼiq	2
اجود	ajwad	2
ساير	Sāyir	2
عاليش	ʻIllaysh	2
وألمانيا	wa-Almāniyā	2
مناقشة	Munāqashah	2
والمطبوعة	wa-al-maṭbūʻah	2
والمعاجم	wa-al-maʻājim	2
مناه	mināhu	2
منا	Mannā	2
الأتينيين	al-Atīnīyīn	2
العطيفي	ʻUṭayfī	2
الإستقلالية	al-istiqlālīyah	2
عامية	ʻāmmīyah	2
العقبا	al-ʻuqbā	2
سارق	Sāriq	2
اثير	Athīr	2
عامل	ʻĀmil	2
عامري	ʻĀmirī	2
الأثار	al-Āthār	2
عامران	ʻImrān	2
١٨٩٢-١٩٤٢	1892-1942	2
اجازة	ijāzat	2
العظمي	al-ʻAẓmī	2
وأميركا	wa-Amīrkā	2
ساكني	sākinī	2
العظمة	al-ʻUẓmá	2
وأمه	wa-ummuhu	2
اجتناب	ijtināb	2
سال	Sālim	2
والمصير	wa-al-maṣīr	2
احاديثة	aḥādīthah	2
الاخضري	al-Akhḍarī	2
العري	al-ʻUry	2
العزب	al-ʻAzab	2
سبسبي	Sabsabī	2
الاخلاقي	al-akhlāqī	2
وأقوال	wa-aqwāl	2
منتظرى	Muntaẓirī	2
منتظري	Muntaẓarī	2
والمعاملات	wa-al-muʻāmalāt	2
منتقديه	muntaqidīh	2
احدى	iḥdá	2
وزيادة	wa-ziyādat	2
1883	1883	2
الخلقي	al-khuluqī	2
احزاب	Aḥzāb	2
العروس	al-ʻarūs	2
وأقاليم	wa-aqālīm	2
العرق	al-ʻIraq	2
العرفي	ʻUrfī	2
والمعاهد	wa-al-maʻāhid	2
وزهرة	wa-zahrat	2
احداهما	iḥdāhumā	2
العزظمى	al-ʻUẓmá	2
وأكمل	wa-akmal	2
العزم	al-ʻAzm	2
العشرة	al-ʻasharah	2
١٩٤٦	1946	2
الخلافات	al-khilāfāt	2
عالى	ʻĀlī	2
العشائر	al-ʻashāʼir	2
سبب	Sabab	2
١٩٤٦-١٩٥٥	1946-1955	2
الاخماسي	al-Akhmāsī	2
احتفالات	iḥtifālāt	2
العسر	al-ʻusr	2
الخلان	al-khullān	2
عالمي	ʻIlmī	2
العزيزية	al-ʻazīzīyah	2
العزيزي	al-ʻAzīzī	2
الخلاني	al-Khillānī	2
الخلدونية	al-Khaldūnīyah	2
العزوزي	ʻAzzūzī	2
الاتجاهات	al-Ittijāhāt	2
عبودي	ʻUbūdī	2
الرجاء	al-Rajāʼ	2
السعادات	al-saʻādāt	2
الإمداد	al-Imdād	2
وحروف	wa-Ḥurūf	2
الإمتيازات	al-Imtiyāzāt	2
الرثاء	al-rithāʼ	2
والنسيب	wa-al-nasāb	2
کتابخانه	Kitābkhānah	2
شهبة	Shuhbah	2
السراجية	al-Sirājīyah	2
نقيب	naqīb	2
الإمبراطوريات	al-imbarāṭūrīyāt	2
السرائر	al-sarāʼir	2
کتب	Kutub	2
شهران	shahrān	2
شهرزاد	Shahrazād	2
هستد	Hustad	2
السد	al-Sadd	2
السخرة	al-sukhrah	2
اصيبعة	Uṣaybiʻah	2
هربدان	Harbadān	2
شمسي	shamsī	2
وجسر	wa-jisr	2
السفرجلاني	al-Safarjalānī	2
السفر	al-sifr	2
اقتصادية	iqtiṣādīyah	2
الإنتخاب	al-intikhāb	2
شمايل	Shamāyil	2
الربعة	al-Ṭabʻah	2
شمران	Shamrān	2
شمرۀ	shumr̄ah-ʼi	2
والنسخة	wa-al-nuskhah	2
وحسين	wa-Ḥusayn	2
اقتصادي	iqtiṣādī	2
السعودي	al-Saʻūdī	2
صلحي	Ṣulḥī	2
شموس	Shumūs	2
صلة	Ṣilat	2
الإميركية	al-Amīrikīyah	2
اصولها	uṣūlihā	2
وحسان	wa-Ḥassān	2
نكبة	nakbat	2
نكة	nukat	2
هربق	Harbaq	2
السبت	al-Sabt	2
کرمانى	Kirmānī	2
اعاد	aʻāda	2
صفوان	Ṣafwān	2
شوقى	Shawqī	2
السامى	al-Sāmī	2
السامع	al-sāmiʻ	2
الإلمام	al-Ilmām	2
نهض	nahaḍa	2
السحرتي	Saḥartī	2
هربرت	Herbert	2
اقتبسه	iqtabasahu	2
کرىم	Karīm	2
الساماني	al-Sāmānī	2
وحدي	Waḥdī	2
الإلزامي	al-ilzāmī	2
السال	al-sālik	2
الإلباس	al-ilbās	2
الساق	al-sāq	2
السافر	al-sāfir	2
الإصابة	al-iṣābah	2
هرتويغ	Hartwīgh	2
الرحم	al-raḥim	2
الرجز	al-Rajaz	2
والهندسة	wa-al-handasah	2
هروي	Harawī	2
اضيفت	uḍīfat	2
السجاني	al-Sujjānī	2
هرمن	Hirman	2
نمط	namaṭ	2
نمقه	nammaqahu	2
شهيرات	Shahīrāt	2
وحركاته	wa-ḥarakātihi	2
شو	Shū	2
شواذ	shawādhdh	2
شوال	Shawwāl	2
اقتراح	iqtirāḥ	2
السفير	al-Safīr	2
شماع	Shammāʻ	2
السفينة	al-Safīnah	2
همدان	Hamdān	2
اصالة	Aṣālat	2
اصبهاني	Iṣbahānī	2
صهاريج	Ṣahārīj	2
السناني	al-Sinānī	2
شعيرة	Shuʻayrah	2
شفا	Shifā	2
اقسام	aqsām	2
الراسخ	al-rāsikh	2
الراعي	al-Rāʻī	2
والهيتية	wa-al-Hītīyah	2
والهندية	wa-al-Hindīyah	2
شفىق	Shafīq	2
شفيع	Shafīʻ	2
ڤشنڤي	Vishnavī	2
الراصد	al-rāṣid	2
السمر	al-sumr	2
الراضي	al-Rāḍī	2
صنعاني	Ṣanʻānī	2
نعمات	Niʻmāt	2
السند	al-sanad	2
نعلم	naʻlam	2
نعساني	Naʻsānī	2
السواد	al-sawād	2
صورة	ṣūrah	2
1107	1107	2
نظشم	Niẓām	2
شعرائنا	shuʻarāʼinā	2
اقطاب	Aqṭāb	2
الراجحي	al-Rājiḥī	2
1098	1098	2
نظماً	naẓman	2
نظمت	nuẓimat	2
اشكوري	Ashkūrī	2
صوايا	Ṣawāyā	2
السنوسية	al-Sanūsīyah	2
نظمها	naẓamahā	2
ڤرائيلا	Varāʼīlā	2
اشياء	ashyāʼ	2
همذاني	Hamadhānī	2
شعشاعة	Shaʻshāʻah	2
شعوب	Shuʻūb	2
اصاف	Aṣāf	2
وحكيم	al-ḥakīm	2
شمارهئ	shumārah-ʼi	2
نفقته	nafaqatihi	2
الراهنة	al-rāhinah	2
نفلية	Nafalīyah	2
الإنتصار	al-intiṣār	2
السلاطين	al-salāṭīn	2
الراوية	al-rāwiyah	2
شما	Shamma	2
السكك	al-Sikak	2
الربا	al-Ribā	2
نقائض	Naqāʼiḍ	2
شقرون	Shaqrūn	2
الرباط	al-Rabāṭ	2
اصلها	aṣlihā	2
شمائل	Shamāʼil	2
السكاك	al-Sakkāk	2
هفان	Hiffān	2
السقام	al-saqām	2
شماره	Shumārah	2
وجساس	wa-Jassās	2
شمارهʼ	shumārah-ʼi	2
شلحت	Shalḥat	2
وحقيقة	wa-ḥaqīqat	2
اصفهانى	Iṣfahānī	2
السمؤأل	al-Samawʼal	2
نفثات	nafathāt	2
السليمة	al-salīmah	2
السليمانية	al-Sulaymānīyah	2
شقيق	shaqīq	2
نفحة	Nafḥat	2
نفراوي	Nafrāwī	2
شقيقه	shaqīquhu	2
السلم	al-Sullam	2
اقدس	aqdas	2
اصطلاحات	al-iṣṭalāḥāt	2
اقدام	aqdām	2
والنساء	wa-al-nisāʼ	2
نفط	Nafṭ	2
شكل	shakl	2
نفعه	nafʻahu	2
ڨوصيل	Vaucelles	2
الرحمتي	al-Raḥmatī	2
والمندوب	wa-al-mandūb	2
والنقلية	wa-al-naqlīyah	2
اغسطس	Aghusṭus	2
الرياضي	al-riyāḍī	2
الرياضة	al-riyāḍah	2
هاري	Harry	2
هازارد	Hazard	2
اغلفه	aghlafahu	2
صاوى	Ṣāwī	2
الرياحين	al-rayāḥīn	2
صدوق	Ṣadūq	2
وجهلها	wa-jahilahā	2
صباه	ṣibāh	2
الرياضيية	al-Riyāḍīyah	2
گنجىنۀ	Ganjīnah-ʼi	2
اغيا	Ighyā	2
---	---	2
صدقة	Ṣadaqah	2
صبرا	Ṣabrā	2
الروض	al-Rawḍ	2
صبرى	Ṣabrī	2
الروسية	al-Rūsīyah	2
صدره	ṣaddarahu	2
الرشد	al-rushd	2
الريحان	al-Rayḥān	2
الزبيري	al-Zubayrī	2
صارة	Ṣārah	2
صاعد	Ṣāʻid	2
هاتف	Hātif	2
صاغ	ṣāgh	2
الزاهية	al-zāhiyah	2
هادئة	hādiʼah	2
هادوى	Hādavī	2
الزاهر	al-zāhir	2
وجمعه	wa-jamʻihi	2
الزام	Ilzām	2
الزائر	al-zāʼir	2
وجودها	wujūdihā	2
اغاثة	Ighāthat	2
الريماوي	al-Rīmāwī	2
الريس	al-Rayyis	2
گلبهار	Gulbahār	2
گلپاىگانى	Gulpāyigānī	2
الرسولية	al-Rasūlīyah	2
هارولد	Hārūld	2
صبغة	Ṣibghat	2
افراني	Ifrānī	2
هاينمان	Hynman	2
الرمادي	Ramādī	2
افتيموس	Iftīmūs	2
الرماح	al-Rimāḥ	2
هبراوي	Hibrāwī	2
الرقيق	al-raqīq	2
الرقيات	al-Ruqayyāt	2
هتاف	Hutāf	2
الإطلاق	al-iṭlāq	2
الرقائق	al-raqāʼiq	2
الرق	al-riqq	2
هجائي	hijāʼī	2
وجميل	wa-Jamīl	2
الرفاء	al-Raffāʼ	2
وجمهرة	wa-Jamharat	2
صحافي	Ṣaḥāfī	2
الرمة	al-Rummah	2
الرمز	al-ramz	2
الرضواني	al-Riḍwānī	2
الرضوى	al-Raḍawī	2
وجهاد	wa-jihād	2
الروبي	al-Rūbī	2
الرواه	al-ruwāh	2
الرواقية	al-riwāqīyah	2
هدلي	Headley	2
الإعراب	al-iʻrāb	2
هدايت	Hidāyat	2
الإعجاز	al-iʻjāz	2
الرهون	al-Ruhūn	2
هاملت	Hāmlit	2
هانئ	Hāniʼ	2
الرهبنة	al-rahbanah	2
الرهبانية	al-rahbānīyah	2
هانز	Hans	2
الرموز	al-rumūz	2
صحافة	Ṣiḥāfah	2
وجنى	wa-janá	2
الرمل	al-raml	2
والنفيس	wa-al-nafīs	2
الزيادات	al-ziyādāt	2
الزيزفون	al-zayzafūn	2
الزير	al-Zīr	2
اقباس	Aqbās	2
الزيارات	al-ziyārāt	2
نورالدين	Nūr-al-Dīn	2
نورانى	Nūrānī	2
اقامة	iqāmat	2
الزيادة	al-ziyādah	2
نورثفيلد	Northfield	2
نوفمبر	Nūfambir	2
نورس	Nawras	2
اقاصيص	aqāṣīṣ	2
کمپانى	Kumpānī	2
الزور	al-Zūr	2
شيدر	Schaeder	2
نورى	Nūrī	2
نوعه	nawʻihi	2
نوبار	Nūbār	2
شيخنا	shaykhunā	2
شيخزادة	Shaykhʹzādah	2
هراس	Harrās	2
وحده	waḥdahu	2
صفر	Ṣafar	2
الساساني	al-Sāsānī	2
نواحي	nawāḥī	2
والنصرانية	wa-al-Naṣrānīyah	2
الساحل	al-sāḥil	2
الإكتساب	al-Iktisāb	2
الإقليم	al-iqlīm	2
وحجتهم	wa-ḥujjatihim	2
کشف	Kashf	2
نواف	Nawwāf	2
السائل	al-sāʼil	2
السائر	al-sāʼir	2
السائح	al-Sāʼiḥ	2
نواقصه	nawāqiṣih	2
السائب	al-Sāʼib	2
الزرقاني	al-Zurqānī	2
نيشابوري	Nīshābūrī	2
والنغم	wa-al-nagham	2
هذبه	hadhdhabahu	2
افندى	Afand−i	2
نيقولاي	Nikolaĭ	2
اعلان	Iʻlān	2
الزركشي	al-Zarkashī	2
نيكل	Nykl	2
نيلة	Nīlah	2
اعلمي	Aʻlamī	2
الرسمي	al-rasmī	2
الزرادشيين	al-Zarādashīyīn	2
والنفسية	wa-al-Nafsīyah	2
نينوي	Nīnawī	2
الرسالات	al-risālāt	2
هذلول	Hadhlūl	2
الزكاه	al-zakāh	2
صفا	Ṣafā	2
وحاضره	wa-ḥāḍirihi	2
شيكاغو	Shīkāghū	2
صغيرات	saghīrāt	2
الزهر	al-zahr	2
الإصفهاني	al-Iṣfahānī	2
اعرف	Iʻraf	2
شيوعية	shuyūʻīyah	2
وحاشية	wa-ḥāshiyat	2
الزمني	al-zamanī	2
الرزق	al-rizq	2
وحادثة	wa-ḥādithat	2
والنظريات	wa-al-naẓarīyāt	2
والنظم	wa-al-naẓm	2
الإفلاس	al-iflās	2
صابوني	Ṣābūnī	2
ڭنون	Gannūn	2
السوادي	al-Sawādī	2
نظريات	Naẓarīyat	2
1109	1109	2
الشهال	Shahhāl	2
وثلاثمائه	wa-thalāthumāʼih	2
الدويري	Duwayrī	2
الشهرضائي	al-Shahriḍāʼī	2
پيير	Pierre	2
نجوى	Najwá	2
نجى	Najá	2
الابحار	al-abḥār	2
الشهباء	al-shahbāʼ	2
الشهامة	al-shahāmah	2
الشهادة	al-shahādah	2
الشهىر	al-shahīr	2
نحرير	Niḥrīr	2
الشهادات	al-shahādāt	2
استدركث	istadrakathu	2
سيوفي	Suyūfī	2
الآبي	al-Ābī	2
الابتهاج	al-ibtihāj	2
نجلا	Najlā	2
الابدا	al-ibdāʹ	2
الآثارية	al-āthārīyah	2
الابدية	al-abadīyah	2
نجدت	Najdat	2
هيلين	Hīlīn	2
الشوك	al-shawk	2
سيفين	Sayfayn	2
سيكولوجيا	Sīkūlūjiyā	2
الشوستري	al-Shūstarī	2
نجدها	najiduhā	2
الابدال	al-ibdāl	2
الشوباشي	al-Shūbāshī	2
نجدي	Najdī	2
وثلاث	wa-thalāth	2
سيكولوجية	Saykūlūjīyat	2
نجفى	Najafī	2
استاندرد	Istāndard	2
استراتيجية	istirātījīyah	2
سڤدج	Savdaj	2
الشنجيطي	Shinjīṭī	2
1323	1323	2
والموسيقى	wa-al-mūsīqá	2
ندبة	Nudbah	2
چاپخانة	Chāpkhānah	2
ندوات	Nadawāt	2
ندوة	Nadwat	2
شاردة	Shāridah	2
والموشحات	wa-al-muwashshaḥāt	2
استغاثة	Istighāthah	2
ندڤي	Nadvī	2
نذر	nadhr	2
طبائعها	ṭabāʼiʻihā	2
طبائع	Ṭabāʼiʻ	2
الشعة	al-Shiʻah	2
وداي	Waddāy	2
ندا	Nida	2
الديمقراطي	al-dīmuqrāṭī	2
الشك	al-shakk	2
الشكر	al-shukr	2
والمواعظ	wa-al-mawāʻiẓ	2
الشموس	al-shumūs	2
الديب	Dīb	2
الديباج	al-Dibāj	2
طبرى	Ṭabarī	2
هيرلنج	Hīrlinj	2
شئون	shuʼūn	2
شاب	Shābb	2
هيدجي	Haydajī	2
1333	1333	2
الشماخي	al-Shammākhī	2
طباطبائى	Ṭabāṭabāʼī	2
الشماخ	Shammākh	2
طباطبا	Ṭabāṭabā	2
استعباد	Istiʻbād	2
الشكوري	al-Shakūrī	2
الشكور	al-Shakūr	2
هينرش	Heinrich	2
الآجرومية	al-Ājurrūmīyah	2
اسئلة	Asʼilah	2
ودليل	wa-dalīl	2
نالينو	Nallino	2
سياق	sīyāq	2
الصبيان	al-Ṣibyān	2
نامق	Nāmiq	2
الصبور	al-Ṣabūr	2
نان	Nān	2
الصبح	al-ṣubḥ	2
ازهاق	izhāq	2
ازياء	Azyāʼ	2
اساس	Asās	2
الدن	al-Din	2
ودلالاتها	wa-dalālātihā	2
طبقأ	ṭibqan	2
و1980	1980	2
نباته	Nubātah	2
1358	1358	2
اساتذة	Asātidhat	2
نباهي	Nubāhī	2
و1960	1960	2
الدمقراطي	al-Dimuqrāṭī	2
طبيبي	Ṭabībī	2
1368	1368	2
سياب	Sayyāb	2
الدلجي	al-Daljī	2
ناصح	Nāṣiḥ	2
الاتاسي	al-Atāsī	2
ازاء	azāʼ	2
الصحي	al-ṣiḥḥī	2
سيار	Sayyār	2
الدليمي	al-Dulaymī	2
پني	Penney	2
طرأ	ṭaraʼa	2
ناعمة	Nāʻimah	2
الصحافي	al-Ṣaḥāfī	2
ناعوري	Nāʻūrī	2
و6	wa-6	2
ازمة	Azmat	2
طبيعي	ṭabīʻī	2
طبيعة	ṭabīʻat	2
ناقلي	nāqilī	2
1365	1365	2
والمنسوب	wa-al-mansūb	2
نبذ	nubadh	2
الصافنات	al-ṣāfināt	2
الشيطان	al-Shayṭān	2
اسامي	asāmī	2
الشيوعي	al-shuyūʻī	2
اسانيد	asānīd	2
الشينية	al-Shīnīyah	2
والمنقول	wa-al-Manqūl	2
وثبة	Wathbat	2
الابصار	al-abṣār	2
الابشيهي	al-Ibshīhī	2
الدوح	al-dawḥ	2
نثر	nathr	2
نثره	nathrih	2
الشيزري	Shayzarī	2
سيرانوا	Sīrānū	2
اسباب	Asbāb	2
نثرية	nathrīyah	2
الآحلام	al-aḥlām	2
والمهجري	wa-al-mahjarī	2
الابراهيمية	al-Ibrāhīmīyah	2
الآخرة	al-ākhirah	2
الصائغ	al-sāʼigh	2
1353	1353	2
پول	Paul	2
نبراس	nibrās	2
اساسها	asāsihā	2
اساطين	asāṭīn	2
نبوة	nubuwwat	2
و180	wa-180	2
الدواء	al-dawāʼ	2
الصابي	al-Ṣābī	2
الصابىء	Ṣābī	2
الدوائر	al-dawāʼir	2
نبيلة	Nabīlah	2
نبينا	nabīyinā	2
الدواخلي	Dawākhilī	2
سيدو	Saydū	2
ودانش	wa-Dānish	2
وداعي	Wadāʻī	2
1322	1322	2
الإنكار	al-inkār	2
ضباط	Ḍubāṭ	2
السيوفي	al-Suyūfī	2
ههياوي	Hihyāwī	2
اشاره	ishārah	2
چيد	Gīd	2
اشتباه	ishtibāh	2
الإنكسار	al-inkisār	2
السينية	al-Sīnīyah	2
اكثر	akthar	2
الإنقلابات	al-inqilābāt	2
1197	1197	2
السيكلوجية	al-saykulūjīyah	2
نصه	naṣṣahu	2
السيطرة	al-sayṭarah	2
اكتنفت	iktanafat	2
وحياض	wa-ḥiyāḍ	2
اكتفاء	Iktifāʼ	2
هنرى	Henry	2
السير	al-siyar	2
نصح	Naṣḥ	2
نصارى	naṣārá	2
اسولد	Uswald	2
الشامخ	al-shāmikh	2
نشرهما	nasharahumā	2
هواري	Hawārī	2
الشافي	al-shāfī	2
والناس	wa-al-nās	2
الذهبى	al-dhahabī	2
اسناد	isnād	2
ضحايا	Ḍaḥāyā	2
والواجبات	wa-al-wājibāt	2
نشيد	nashīd	2
شرحي	Sharḥay	2
والناقد	wa-al-nāqid	2
شرعية	sharʻīyah	2
120	120	2
1180	1180	2
الشامل	al-shāmil	2
اشعثيات	Ashʻathīyāt	2
وجدت	wujidat	2
السويح	al-Suwayyiḥ	2
هنانو	Hanānū	2
السوقية	al-sūqīyah	2
صيانة	Ṣiyānat	2
1143	1143	2
نظامي	Niẓāmī	2
والنحاه	wa-al-nuḥāh	2
1125	1125	2
شعبية	shaʻbīyah	2
اشترك	ishtarak	2
نظراؤه	nuẓarāʼuh	2
الرابطي	al-rābiṭī	2
همنغواي	Haminghwāy	2
السور	al-suwar	2
السودي	al-Sūdī	2
السودانية	al-Sūdānīyah	2
السوداني	al-Sūdānī	2
صورتها	ṣūratihā	2
السوداء	al-sawdāʼ	2
هند	Hind	2
الرابطا	al-Rābiṭā	2
الرؤوس	Ruʼūs	2
وجد	Wujida	2
نصوصها	nuṣūṣahā	2
نصولي	Nuṣūlī	2
والنجوم	wa-al-nujūm	2
صيقلي	Ṣayqalī	2
اشتهاردى	Ishtihārdī	2
اقوال	aqwāl	2
وجداول	wa-jadāwil	2
اشتهروا	ishtaharū	2
السياستين	al-siyāsatayn	2
الرئيسية	al-raʼīsīyah	2
شريبة	Shuraybah	2
شريعة	sharīʻat	2
نضالنا	niḍālinā	2
السيادة	al-siyādah	2
1169	1169	2
السياحة	al-siyāḥah	2
الرائقة	al-rāʼiqah	2
ضد	ḍidd	2
شاطر	Shāṭir	2
چلبي	Çelebi	2
وخواطر	wa-khawāṭir	2
هوميروس	Hūmīrūs	2
چقي	Chuqqī	2
وخمسين	wa-khamsīn	2
والموضوعة	wa-al-mawḍūʻah	2
وخمسون	wa-khamsūn	2
شبراملسي	Shabrāmallisī	2
وخمسة	wa-khamsah	2
الشرعيات	al-sharʻīyāt	2
1297	1297	2
اسكاروس	Iskārūs	2
شبه	Shibh	2
نسخها	nasakhahā	2
اسكندراني	Iskandarānī	2
نسق	nasaq	2
الشرجي	al-Sharjī	2
الإيطالي	al-Īṭālī	2
والميزان	wa-al-mīzān	2
طاغور	Ṭāghūr	2
الشرقين	al-Sharqayn	2
اسس	Usus	2
استنزال	Istinzāl	2
وداعا	Wadāʻan	2
طاهري	Ṭāhirī	2
شافية	Shāfiyat	2
شالوحي	Shālūḥī	2
الشريفية	al-Sharīfīyah	2
131	131	2
ال4	al-4	2
طاماز	Ṭāmāz	2
الشريشي	al-Sharīshī	2
والوافد	wa-al-wāfid	2
الائتمان	al-Iʼtimān	2
الشروق	al-shurūq	2
والموصلية	wa-al-Mawṣilīyah	2
نسب	Nasab	2
الشرواني	al-Shirwānī	2
شاوي	Shāwī	2
شاي	shāy	2
ود	Widd	2
شتوي	Shatawī	2
الإيداع	al-īdāʻ	2
ضربان	ḍarbān	2
الذكريات	al-dhikrayāt	2
ضفاف	ḍifāf	2
ضعون	Ḍuʻūn	2
چورچ	Jūrj	2
ضعف	ḍaʻf	2
ضريبة	Ḍarībat	2
شديد	Shadīd	2
وخروج	wa-khurūj	2
شذرات	Shadharāt	2
الذكية	al-zakīyah	2
چوستنيان	Zhūstinyān	2
1296	1296	2
چوق	Chūq	2
الشاهد	al-shāhid	2
الإيراني	al-Īrānī	2
شرابي	Sharābī	2
وخبر	wa-khabar	2
شرارات	Sharārāt	2
شرارت	Sharārat	2
الشبكشي	al-Shabakshī	2
ضم	ḍamm	2
شخصية	shakhṣīyah	2
الشراكسة	al-Sharākisah	2
الشرازي	al-Shirāzī	2
اسلامبولي	Islāmbūlī	2
چنڤييڤ	Janviyīv	2
الشذرات	al-Shadharāt	2
نشأت	Nashʼat	2
چه	Chih	2
شجرة	Shajarat	2
اسلاميه	Islāmīyah	2
وخطرها	wa-khaṭaruhā	2
الشخصيات	al-shakhṣīyāt	2
چوردان	Zhūrdān	2
الشجي	al-shajī	2
شحفة	Shaḥfah	2
الذرائع	al-dharāʼiʻ	2
نشابه	Nashshābah	2
الذراري	al-dharārī	2
اكمل	akmala	2
الإيساغوجي	Isagoge	2
الختم	al-khatm	2
اختصار	ikhtiṣār	2
ابريل	Abrīl	2
القديسين	al-Qiddīsīn	2
وصدر	wa-ṣadr	2
معالي	Maʻālī	2
القديري	al-Qudayrī	2
القدير	al-Qadīr	2
إعراب	iʻrāb	2
معاليه	maʻālīh	2
إغاثة	ighāthat	2
القدم	al-qadam	2
وتطوره	wa-taṭawwuruhu	2
القدسى	al-Qudsī	2
رسالتها	risālatuhā	2
